"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","1","B80825","2018-05-22 11:20:18","B80825","2018-08-02 17:14:21","6"
"2","1","2","B80825","2018-05-22 11:20:19","B80825","2018-08-02 17:14:38","6"
"3","5","1","A2062","2019-05-17 18:56:44","A2062",\N,"1"
"4","5","6","A2062","2019-05-17 18:56:52","A2062",\N,"1"
"5","5","2","A2062","2019-05-17 18:56:45","A2062",\N,"1"
"6","5","3","A2062","2019-05-17 18:56:47","A2062",\N,"1"
"7","5","4","B80825","2019-05-17 18:56:49","B80825","2019-10-04 09:51:19","3"
"8","5","5","A2062","2019-05-17 18:56:50","A2062",\N,"1"
"9","4","1","A2062","2017-12-27 13:50:44","A2062",\N,"1"
"10","7","1","A3212","2019-08-28 13:10:08","A3212","2019-09-25 11:17:40","3"
"11","7","2","B80825","2019-05-17 18:57:13","B80825","2019-10-04 09:49:48","3"
"12","6","1","A2636","2019-05-17 18:57:11","A2636","2019-06-25 11:24:17","2"
"13","8","1","B80825","2019-08-28 13:10:29","B80825","2019-10-04 10:45:21","5"
