"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","4","1","A2636","2019-06-06 09:59:17","A2636",\N,"1"
"2","4","2","A2636","2019-06-06 09:59:19","A2636",\N,"1"
"3","4","3","A2636","2019-06-06 09:59:20","A2636",\N,"1"
"4","4","4","A2636","2019-06-06 09:59:22","A2636",\N,"1"
"5","4","5","A2636","2019-06-06 09:59:24","A2636",\N,"1"
"6","4","6","A2636","2019-06-06 09:59:25","A2636",\N,"1"
"7","4","7","A2636","2019-06-06 09:59:27","A2636",\N,"1"
"8","4","8","A2636","2019-06-06 09:59:28","A2636",\N,"1"
"9","5","1","A3271","2019-07-08 17:32:29","A3271","2019-11-25 17:57:30","4"
"10","3","1","A2636","2019-05-28 18:43:59","A2636",\N,"1"
