"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","2","1","A3211","2020-01-31 15:52:10","A3211","2020-02-13 09:18:41","3"
"2","1","1","A3271","2020-01-31 15:48:59","A3271",\N,"1"
"3","1","2","A3271","2020-01-31 15:49:01","A3271",\N,"1"
"4","2","2","A3211","2020-01-31 15:52:12","A3211","2020-01-31 16:52:12","2"
"5","1","3","A3211","2020-01-31 15:52:13","A3211","2020-01-31 16:51:06","2"
"6","1","3","A3211","2020-01-31 15:49:03","A3211","2020-02-13 09:17:52","2"
"7","6","1","A3211","2020-01-31 15:53:51","A3211","2020-01-31 16:52:32","2"
"8","2","4","A3271","2020-01-31 15:52:15","A3271",\N,"1"
"9","3","1","A3211","2020-01-31 15:52:48","A3211","2020-02-13 09:16:44","2"
"10","1","4","A3211","2020-01-31 15:49:04","A3211","2020-02-13 09:19:26","2"
"11","4","1","A3219","2019-08-21 11:04:34","A3219",\N,"1"
