"LINE_ID","APPOINT_DATE","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","2017-11-16","A2062","2017-11-15 09:36:37","A2062","2017-11-15 09:36:37","1"
"1","2017-11-17","A2062","2017-11-15 09:36:36","A2062","2017-11-15 09:36:36","1"
"1","2017-11-18","B76653","2017-11-15 10:03:01","B76653","2017-11-15 10:03:01","1"
"1","2017-11-20","A2062","2017-11-15 09:36:32","A2062","2017-11-15 09:36:32","1"
"1","2017-11-21","A2062","2017-11-15 09:36:33","A2062","2017-11-15 09:36:33","1"
"1","2017-11-22","A2062","2017-11-15 09:36:34","A2062","2017-11-15 09:36:34","1"
"1","2017-11-23","A2062","2017-11-15 09:36:17","A2062","2017-11-15 09:36:17","1"
"1","2017-11-24","A2062","2017-11-15 09:36:35","A2062","2017-11-15 09:36:35","1"
"1","2017-11-25","B76653","2017-11-15 10:02:59","B76653","2017-11-15 10:02:59","1"
"1","2017-11-27","A2062","2017-11-15 09:36:31","A2062","2017-11-15 09:36:31","1"
"1","2017-11-28","A2062","2017-11-15 09:36:31","A2062","2017-11-15 09:36:31","1"
"1","2017-11-29","A2062","2017-11-15 09:36:30","A2062","2017-11-15 09:36:30","1"
"1","2017-11-30","A2062","2017-11-15 09:36:29","A2062","2017-11-15 09:36:29","1"
"1","2017-12-01","A2062","2017-11-15 09:36:50","A2062","2017-11-15 09:36:50","1"
"1","2017-12-02","B76653","2017-11-15 10:02:36","B76653","2017-11-15 10:02:36","1"
"1","2017-12-04","A2062","2017-11-15 09:36:44","A2062","2017-11-15 09:36:44","1"
"1","2017-12-05","A2062","2017-11-15 09:36:45","A2062","2017-11-15 09:36:45","1"
"1","2017-12-06","A2062","2017-11-15 09:36:46","A2062","2017-11-15 09:36:46","1"
"1","2017-12-07","A2062","2017-11-15 09:36:46","A2062","2017-11-15 09:36:46","1"
"1","2017-12-08","A2062","2017-11-15 09:36:47","A2062","2017-11-15 09:36:47","1"
"1","2017-12-09","B76653","2017-11-15 10:01:29","B76653","2017-11-15 10:01:29","1"
"1","2017-12-11","A2062","2017-11-15 09:36:43","A2062","2017-11-15 09:36:43","1"
"1","2017-12-12","A2062","2017-11-15 09:36:43","A2062","2017-11-15 09:36:43","1"
"1","2017-12-13","A2062","2017-11-15 09:36:42","A2062","2017-11-15 09:36:42","1"
"1","2017-12-14","A2062","2017-11-15 09:36:41","A2062","2017-11-15 09:36:41","1"
"1","2017-12-15","A2062","2017-11-15 09:36:40","A2062","2017-11-15 09:36:40","1"
