"USER_NO","MODULE_ID","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
78521,30,system,2017-11-10 23:17:50,system,2017-11-10 23:17:50,1
78521,31,system,2017-11-10 23:17:50,system,2017-11-10 23:17:50,1
78521,32,system,2017-11-10 23:17:50,system,2017-11-10 23:17:50,1
78521,33,system,2017-11-10 23:17:50,system,2017-11-10 23:17:50,1
78521,36,system,2017-11-10 23:17:50,system,2017-11-10 23:17:50,1
78521,37,system,2017-11-10 23:17:50,system,2017-11-10 23:17:50,1
78521,38,system,2017-11-10 23:17:50,system,2017-11-10 23:17:50,1
78521,150,system,2017-11-10 23:17:50,system,2017-11-10 23:17:50,1
78521,203,system,2017-11-10 23:17:50,system,2017-11-10 23:17:50,1
80906,30,B78521,2017-12-27 15:18:25,B78521,2017-12-27 15:18:25,1
80906,31,B78521,2017-12-27 15:18:23,B78521,2017-12-27 15:18:23,1
80906,32,B78521,2017-12-27 15:18:24,B78521,2017-12-27 15:18:24,1
80906,33,B78521,2017-12-27 15:18:24,B78521,2017-12-27 15:18:24,1
80906,36,B78521,2017-12-27 15:18:24,B78521,2017-12-27 15:18:24,1
80906,37,B78521,2017-12-27 15:18:24,B78521,2017-12-27 15:18:24,1
80906,38,B78521,2017-12-27 15:18:25,B78521,2017-12-27 15:18:25,1
80906,150,B78521,2017-12-27 15:18:25,B78521,2017-12-27 15:18:25,1
80906,203,B78521,2017-12-27 15:18:25,B78521,2017-12-27 15:18:25,1
87393,30,B80906,2018-08-21 13:52:19,B80906,2018-08-21 13:52:19,1
87393,31,B80906,2018-08-21 13:52:19,B80906,2018-08-21 13:52:19,1
87393,32,B80906,2018-08-21 13:52:19,B80906,2018-08-21 13:52:19,1
87393,33,B80906,2018-08-21 13:52:19,B80906,2018-08-21 13:52:19,1
87393,36,B80906,2018-08-21 13:52:19,B80906,2018-08-21 13:52:19,1
87393,37,B80906,2018-08-21 13:52:19,B80906,2018-08-21 13:52:19,1
87393,38,B80906,2018-08-21 13:52:19,B80906,2018-08-21 13:52:19,1
87393,150,B80906,2018-08-21 13:52:19,B80906,2018-08-21 13:52:19,1
87393,203,B80906,2018-08-21 13:52:19,B80906,2018-08-21 13:52:19,1
101733,30,B80906,2019-09-26 10:12:11,B80906,2019-09-26 10:12:11,1
101733,31,B80906,2019-09-26 10:12:11,B80906,2019-09-26 10:12:11,1
101733,32,B80906,2019-09-26 10:12:11,B80906,2019-09-26 10:12:11,1
101733,33,B80906,2019-09-26 10:12:11,B80906,2019-09-26 10:12:11,1
101733,36,B80906,2019-09-26 10:12:11,B80906,2019-09-26 10:12:11,1
101733,37,B80906,2019-09-26 10:12:11,B80906,2019-09-26 10:12:11,1
101733,38,B80906,2019-09-26 10:12:11,B80906,2019-09-26 10:12:11,1
101733,150,B80906,2019-09-26 10:12:11,B80906,2019-09-26 10:12:11,1
101733,203,B80906,2019-09-26 10:12:11,B80906,2019-09-26 10:12:11,1
