"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","3","1","A3211","2019-07-26 10:33:03","A3211","2019-09-24 15:21:44","5"
"2","4","1","A3211","2019-07-26 10:34:37","A3211","2019-09-24 15:22:09","3"
"3","4","2","A3211","2019-07-26 10:34:39","A3211","2019-09-24 15:21:53","4"
"4","4","3","A3211","2019-07-26 10:34:41","A3211","2019-09-24 15:23:20","3"
"5","1","1","A3211","2019-07-26 10:34:48","A3211","2019-09-24 15:24:00","3"
"6","1","2","A3211","2019-07-26 10:34:50","A3211","2019-09-24 15:23:52","3"
"7","1","3","A3211","2019-07-26 10:34:51","A3211","2019-09-24 15:24:09","3"
"8","1","4","A3211","2019-07-26 10:34:53","A3211","2019-09-24 15:24:26","4"
"9","1","5","A3211","2019-07-26 10:34:55","A3211","2019-09-24 15:24:33","5"
"10","1","6","A3211","2019-07-26 10:34:56","A3211","2019-09-24 15:24:18","5"
"11","2","1","A2636","2018-08-09 11:26:03","A2636",\N,"1"
"12","5","1","A3271","2019-07-26 13:55:35","A3271","2019-11-29 10:40:33","4"
"13","6","1","A3271","2019-07-26 13:56:02","A3271","2019-11-29 10:37:00","5"
"14","6","2","A3271","2019-07-26 13:56:03","A3271","2019-11-29 10:37:18","5"
"15","6","3","A3271","2019-07-26 13:56:05","A3271","2019-11-29 10:37:39","4"
"16","7","1","A3271","2019-07-26 13:56:48","A3271","2019-11-29 10:38:00","4"
"17","7","2","A3271","2019-07-26 13:56:50","A3271","2019-11-29 10:38:41","4"
"18","7","3","A3271","2019-07-26 13:56:52","A3271","2019-11-29 10:38:58","5"
"19","7","4","A3271","2019-07-26 13:56:53","A3271","2019-11-29 10:39:28","4"
"20","7","5","A3271","2019-07-26 13:56:55","A3271","2019-11-29 10:39:57","4"
"21","7","6","A3271","2019-07-26 13:56:56","A3271","2019-11-29 10:40:14","4"
