"USER_NO","MODULE_ID","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
75001,30,system,2017-09-04 23:16:34,system,2017-09-04 23:16:34,1
75001,31,system,2017-09-04 23:16:34,system,2017-09-04 23:16:34,1
75001,32,system,2017-09-04 23:16:34,system,2017-09-04 23:16:34,1
75001,33,system,2017-09-04 23:16:34,system,2017-09-04 23:16:34,1
75001,36,system,2017-09-04 23:16:34,system,2017-09-04 23:16:34,1
75001,37,system,2017-09-04 23:16:34,system,2017-09-04 23:16:34,1
75001,38,system,2017-09-04 23:16:34,system,2017-09-04 23:16:34,1
75001,150,system,2017-09-04 23:16:34,system,2017-09-04 23:16:34,1
75001,203,system,2017-09-04 23:16:34,system,2017-09-04 23:16:34,1
88736,30,B75001,2018-10-01 09:20:08,B75001,2018-10-01 09:20:08,1
88736,31,B75001,2018-10-01 09:20:08,B75001,2018-10-01 09:20:08,1
88736,32,B75001,2018-10-01 09:20:08,B75001,2018-10-01 09:20:08,1
88736,33,B75001,2018-10-01 09:20:08,B75001,2018-10-01 09:20:08,1
88736,36,B75001,2018-10-01 09:20:08,B75001,2018-10-01 09:20:08,1
88736,37,B75001,2018-10-01 09:20:08,B75001,2018-10-01 09:20:08,1
88736,38,B75001,2018-10-01 09:20:08,B75001,2018-10-01 09:20:08,1
88736,150,B75001,2018-10-01 09:20:08,B75001,2018-10-01 09:20:08,1
88736,203,B75001,2018-10-01 09:20:08,B75001,2018-10-01 09:20:08,1
104595,30,B88736,2020-01-01 12:33:20,B88736,2020-01-01 12:33:20,1
104595,31,B88736,2020-01-01 12:33:20,B88736,2020-01-01 12:33:20,1
104595,32,B88736,2020-01-01 12:33:20,B88736,2020-01-01 12:33:20,1
104595,33,B88736,2020-01-01 12:33:20,B88736,2020-01-01 12:33:20,1
104595,150,B88736,2020-01-01 12:33:20,B88736,2020-01-01 12:33:20,1
104595,203,B88736,2020-01-01 12:33:20,B88736,2020-01-01 12:33:20,1
