"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"6","7","1","A3211","2019-11-12 12:32:52","A3211",\N,"1"
"7","8","1","A3211","2019-11-12 12:33:08","A3211",\N,"1"
"8","7","2","A3211","2019-11-12 12:32:54","A3211",\N,"1"
"9","8","2","A3211","2019-11-12 12:33:09","A3211",\N,"1"
"12","4","1","A2636","2018-05-28 16:54:44","A2636",\N,"1"
"21","15","1","A3211","2019-06-03 19:08:54","A3211","2019-11-12 12:42:53","8"
"22","15","2","A3211","2019-06-03 19:08:56","A3211","2019-11-12 12:45:31","10"
"23","16","1","A3211","2019-06-03 19:09:46","A3211","2019-11-12 12:57:37","10"
"24","22","1","A3211","2019-06-03 19:23:13","A3211","2019-11-12 12:53:10","7"
"25","23","1","A3211","2019-06-03 19:23:55","A3211","2019-11-12 12:54:17","8"
"26","20","1","A3211","2019-06-03 20:30:19","A3211","2019-11-12 12:54:58","4"
"27","21","1","A3211","2019-06-03 20:32:03","A3211","2019-11-12 12:53:50","4"
"28","24","1","A3211","2019-06-03 19:26:08","A3211","2019-11-12 12:55:33","11"
"29","25","1","A3211","2019-06-03 19:26:17","A3211","2019-11-12 12:52:37","7"
"30","20","2","A3211","2019-06-03 20:30:21","A3211","2019-11-12 12:50:54","4"
"31","21","2","A3211","2019-06-03 20:32:07","A3211","2019-11-12 12:51:45","5"
"32","17","1","A3211","2019-11-09 13:57:06","A3211","2019-11-12 12:48:44","2"
"33","26","0","A3211","2019-11-12 12:48:10","A3211",\N,"1"
"34","18","1","A3211","2019-06-03 19:16:14","A3211","2019-11-12 12:47:02","4"
"36","27","1","A3211","2019-11-12 12:48:19","A3211",\N,"1"
"37","28","1","A3211","2019-11-12 12:42:43","A3211","2019-11-12 12:58:13","4"
