"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","9","4","A1589","2020-04-10 16:55:24","A1589",\N,"1"
"3","7","1","A3211","2020-04-10 13:55:42","A3211",\N,"1"
"4","9","1","A1589","2020-04-10 16:55:19","A1589",\N,"1"
"5","8","1","A1589","2020-04-10 16:54:40","A1589",\N,"1"
"6","7","2","A3211","2020-04-10 13:55:44","A3211",\N,"1"
"7","9","2","A1589","2020-04-10 16:55:21","A1589",\N,"1"
"8","10","2","A1589","2020-04-10 16:52:13","A1589",\N,"1"
"9","7","3","A3211","2020-04-10 13:55:46","A3211",\N,"1"
"10","9","3","A1589","2020-04-10 16:55:22","A1589",\N,"1"
"11","10","1","A1589","2020-04-10 16:52:12","A1589",\N,"1"
"12","7","4","A3211","2020-04-10 13:55:47","A3211",\N,"1"
"13","13","1","A1589","2020-04-10 16:55:11","A1589",\N,"1"
"14","10","3","A1589","2020-04-10 16:52:15","A1589",\N,"1"
"15","12","1","A1589","2020-04-10 16:54:08","A1589",\N,"1"
"16","11","1","A1589","2020-04-10 16:53:49","A1589",\N,"1"
"17","6","4","A3211","2020-04-10 13:52:03","A3211",\N,"1"
"18","6","2","A3211","2020-04-10 13:52:00","A3211",\N,"1"
"19","6","1","A3211","2020-04-10 13:51:59","A3211",\N,"1"
"20","6","3","A3211","2020-04-10 13:52:02","A3211",\N,"1"
