"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","1","A3212","2019-01-18 16:30:29","A3212","2019-10-24 09:55:02","8"
"2","1","2","A3212","2019-01-18 16:30:31","A3212","2019-10-24 10:05:41","9"
"3","1","3","A2062","2019-01-18 16:30:33","A2062","2019-06-24 15:48:16","6"
"4","1","4","A3212","2019-01-18 16:30:35","A3212","2019-10-24 10:11:37","7"
"5","2","1","A2636","2019-01-22 15:38:42","A2636",\N,"1"
"6","1","0","A3218","2019-08-15 15:07:05","A3218","2019-08-15 15:10:22","2"
"7","1","0","A3218","2019-08-15 15:12:58","A3218","2019-08-15 15:16:42","2"
"8","1","0","A3218","2019-08-15 15:15:09","A3218",\N,"1"
"9","1","0","A3218","2019-08-15 15:18:57","A3218",\N,"1"
"10","1","0","A3212","2019-10-24 09:56:13","A3212",\N,"1"
"11","1","0","A3212","2019-10-24 10:06:40","A3212",\N,"1"
