"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","2","A3212","2019-06-04 16:41:24","A3212","2019-08-30 19:09:06","5"
"2","2","1","A3212","2019-06-04 16:42:57","A3212","2019-08-30 19:08:58","4"
"3","3","0","A2636","2018-04-24 11:50:27","A2636",\N,"1"
"4","4","1","A2636","2019-06-17 14:33:27","A2636",\N,"1"
"5","5","1","A2636","2019-05-31 10:44:45","A2636","2019-06-14 17:59:17","6"
"6","5","2","A2636","2019-05-31 10:44:47","A2636","2019-06-14 18:01:03","4"
"7","5","3","A2636","2019-05-31 10:44:48","A2636","2019-06-17 10:10:53","6"
"8","5","4","A2636","2019-05-31 10:44:50","A2636","2019-06-17 11:45:43","4"
"9","5","5","A2636","2019-05-31 10:44:51","A2636","2019-06-17 11:58:26","3"
"10","4","3","A3210","2019-06-17 14:33:30","A3210","2020-01-29 15:51:59","4"
"11","4","2","A3210","2019-06-17 14:33:28","A3210","2020-01-29 15:51:32","4"
