"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","5","1","A3271","2019-08-08 14:55:42","A3271","2019-09-30 19:50:28","2"
"2","3","1","A3271","2019-08-08 14:55:30","A3271","2019-09-30 19:50:40","2"
"3","3","2","A3271","2019-08-08 14:55:32","A3271","2019-09-30 19:50:54","2"
"4","4","1","A3271","2019-08-08 14:55:52","A3271","2019-09-30 19:51:06","2"
"5","1","1","A2636","2019-05-10 10:44:18","A2636",\N,"1"
"6","7","1","A3271","2019-08-08 14:58:44","A3271","2019-11-28 11:03:10","5"
"7","6","1","A3271","2019-08-08 14:58:16","A3271","2019-11-28 11:03:54","5"
"8","6","2","A3271","2019-08-08 14:58:18","A3271","2019-11-28 11:04:40","4"
"9","8","1","A3271","2019-08-08 14:58:58","A3271","2019-11-28 11:05:24","3"
"10","10","0","A3271","2019-10-16 16:09:44","A3271","2019-11-28 11:03:32","4"
"11","9","0","A3271","2019-10-16 16:14:46","A3271","2019-11-28 11:04:16","4"
"12","9","0","A3271","2019-10-16 16:20:38","A3271","2019-11-28 11:05:04","3"
