"APPOINT_ID","TRADE_ID","ORDER_ID","CARD_PAYMENT_AMOUNT","PAYMENT_METHOD","CASHPO_USED_AMOUNT","AMOUNT_UNSETTLED","PAYMENT_STATUS","FINALIZE_DATE","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"4","5b72b5efba7e520180814195855","201049782","0","1","0","0","3",\N,\N,"2018-08-14 20:00:49","CUSTUMER","2018-08-15 13:01:30","2"
"7","5b73b2be9d4f820180815135734","201049789","0","1","0","0","3",\N,\N,"2018-08-15 13:57:48","CUSTUMER","2018-08-15 14:22:01","2"
"8","5b73b53a9024c20180815140810","201049794","0","1","0","0","3",\N,\N,"2018-08-15 14:08:26","CUSTUMER","2018-08-15 14:21:39","2"
"10","5b73ddb3170a720180815170051","201049812","85342","1","1200","0","2","2018-08-22 18:30:09",\N,"2018-08-15 17:01:17","OP200","2018-08-22 18:30:09","3"
"11","5b73e061a04cb20180815171217","201049814","86542","1","0","0","3",\N,\N,"2018-08-15 17:12:48","CUSTUMER","2018-08-15 18:24:38","2"
"12","5b73e2a06f9e220180815172152","201049816","88042","1","1500","0","2","2018-09-10 14:30:05",\N,"2018-08-15 17:22:21","OP200","2018-09-10 14:30:05","2"
"13","5b73e66fe088520180815173807","201049820","86542","1","0","0","2","2018-08-15 21:00:06",\N,"2018-08-15 17:38:31","OP200","2018-08-15 21:00:06","2"
"14","5b73e9ed1661e20180815175301","201049822","84742","1","1800","0","2","2018-08-15 20:30:03",\N,"2018-08-15 17:53:43","OP200","2018-08-15 20:30:03","2"
"16","5b73ee981e15720180815181256","201049825","84442","1","2100","0","2","2018-08-15 20:30:04",\N,"2018-08-15 18:13:40","OP200","2018-08-15 20:30:04","2"
"17","5b73f21144a1820180815182745","201049827","86542","1","0","0","1",\N,\N,"2018-08-15 18:28:25",\N,\N,"1"
"32","5b7625140a51120180817102956","201049875","91658","1","0","0","3",\N,\N,"2018-08-17 10:30:32","CUSTUMER","2018-09-12 15:37:40","2"
"36","5b7627f06e6cf20180817104208","201049876","91658","1","0","0","3",\N,\N,"2018-08-17 10:42:29","CUSTUMER","2018-08-24 12:25:30","2"
"37","5b7b7380c93e920180821110552","201049980","86542","1","0","0","2","2018-08-21 11:30:04",\N,"2018-08-21 11:06:34","OP200","2018-08-21 11:30:04","2"
"38","5b7b7b55d5e5720180821113917","201049990","86542","1","0","0","2","2018-08-22 11:00:08",\N,"2018-08-21 11:39:40","OP200","2018-08-22 11:00:08","2"
"40","5b7b84b6832a020180821121918","201049996","89542","1","0","0","1",\N,\N,"2018-08-21 12:19:38",\N,\N,"1"
"41","5b7b84dddfdc320180821121957","201049997","86542","1","0","0","3",\N,\N,"2018-08-21 12:22:14","CUSTUMER","2018-08-21 18:32:27","2"
"43","5b835bccdfed320180827110252","201050315","83542","1","0","0","2","2018-08-29 17:30:04",\N,"2018-08-27 11:03:15","OP200","2018-08-29 17:30:04","2"
"44","5b8386d5ee9e820180827140629","201050339","83342","1","200","0","2","2018-08-29 17:30:05",\N,"2018-08-27 14:06:52","OP200","2018-08-29 17:30:05","2"
"45","5b83875ebc74b20180827140846","201050340","84542","1","0","0","1",\N,\N,"2018-08-27 14:09:03",\N,\N,"1"
"48","5b83a7573039320180827162511","201050373","75369","1","0","0","2","2018-08-28 11:00:08",\N,"2018-08-27 16:25:35","OP200","2018-08-28 11:00:08","2"
"49","5b83a7b73023a20180827162647","201050374","74869","1","500","0","2","2018-08-28 11:00:09",\N,"2018-08-27 16:27:30","OP200","2018-08-28 11:00:09","2"
"50","5b83a8452eb3420180827162909","201050375","76369","1","0","0","2","2018-08-28 11:00:10",\N,"2018-08-27 16:29:26","OP200","2018-08-28 11:00:10","2"
"51","5b83a8a1366b120180827163041","201050376","78369","1","0","0","2","2018-08-28 11:00:11",\N,"2018-08-27 16:30:58","OP200","2018-08-28 11:00:11","2"
"53","5b83a93f9ab7220180827163319","201050377","64466","1","0","0","2","2018-08-28 11:00:11",\N,"2018-08-27 16:34:01","OP200","2018-08-28 11:00:11","2"
"54","5b83a9a93d12c20180827163505","201050379","63566","1","900","0","2","2018-08-28 11:00:12",\N,"2018-08-27 16:35:24","OP200","2018-08-28 11:00:12","2"
"55","5b83aa03908f420180827163635","201050380","65466","1","0","0","2","2018-08-28 11:00:13",\N,"2018-08-27 16:36:53","OP200","2018-08-28 11:00:13","2"
