"LINE_ID","SHIFT_CALENDAR_ID","PERIOD_FROM","PERIOD_TO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","2019-02-27",\N,"A2636","2019-02-27 11:33:56","A2636","2019-02-27 11:33:56","1"
"3","2","2019-04-23","2019-05-06","A1589","2019-04-16 17:53:56","B88817","2019-05-02 14:25:24","2"
"3","3","2019-05-07","2019-05-07","B88817","2019-05-02 14:25:24","B88817","2019-05-02 14:25:24","1"
"3","4","2019-05-08","2019-05-09","B88817","2019-05-02 14:25:24","B88817","2019-05-02 14:25:25","2"
"3","5","2019-05-10","2019-05-10","B88817","2019-05-02 14:25:24","B88817","2019-05-02 14:25:24","1"
"3","6","2019-05-11","2019-05-13","B88817","2019-05-02 14:25:24","B88817","2019-05-02 14:25:25","2"
"3","7","2019-05-14","2019-05-14","B88817","2019-05-02 14:25:25","B88817","2019-05-02 14:25:25","1"
"3","9","2019-05-15","2019-05-15","B88817","2019-05-02 14:25:25","B88817","2019-05-02 14:25:25","1"
"3","11","2019-05-16","2019-05-16","B88817","2019-05-02 14:25:26","B88817","2019-05-02 14:25:26","1"
"3","13","2019-05-17","2019-05-17","B88817","2019-05-02 14:25:27","B88817","2019-05-02 14:25:27","1"
"3","14","2019-05-18","2019-05-19","B88817","2019-05-02 14:25:27","B88817","2019-05-02 14:25:28","2"
"3","15","2019-05-20","2019-05-20","B88817","2019-05-02 14:25:27","B88817","2019-05-02 14:25:27","1"
"3","16","2019-05-21","2019-05-31","B88817","2019-05-02 14:25:27","B88817","2019-05-31 10:45:55","2"
"3","17","2019-06-01","2019-06-01","B88817","2019-05-31 10:45:55","B88817","2019-05-31 10:45:55","1"
"3","18","2019-06-02","2019-06-02","B88817","2019-05-31 10:45:55","B88817","2019-05-31 10:45:55","2"
"3","19","2019-06-03","2019-06-03","B88817","2019-05-31 10:45:55","B88817","2019-05-31 10:45:55","1"
