"LINE_ID","APPOINT_DATE","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","2019-10-01","A3218","2019-08-27 16:21:29","A3218","2019-08-27 16:21:29","1"
"1","2019-10-02","A3218","2019-08-27 16:21:30","A3218","2019-08-27 16:21:30","1"
"1","2019-10-03","A3218","2019-08-27 16:21:30","A3218","2019-08-27 16:21:30","1"
"1","2019-10-04","A3218","2019-08-27 16:21:31","A3218","2019-08-27 16:21:31","1"
"1","2019-10-07","A3218","2019-08-27 16:21:32","A3218","2019-08-27 16:21:32","1"
"1","2019-10-08","A3218","2019-08-27 16:21:33","A3218","2019-08-27 16:21:33","1"
"1","2019-10-09","A3218","2019-08-27 16:21:33","A3218","2019-08-27 16:21:33","1"
"1","2019-10-10","A3218","2019-08-27 16:21:34","A3218","2019-08-27 16:21:34","1"
"1","2019-10-11","A3218","2019-08-27 16:21:34","A3218","2019-08-27 16:21:34","1"
"1","2019-10-15","A3218","2019-08-27 16:21:36","A3218","2019-08-27 16:21:36","1"
"1","2019-10-16","A3218","2019-08-27 16:21:37","A3218","2019-08-27 16:21:37","1"
"1","2019-10-17","A3218","2019-08-27 16:21:37","A3218","2019-08-27 16:21:37","1"
"1","2019-10-18","A3218","2019-08-27 16:21:38","A3218","2019-08-27 16:21:38","1"
"1","2019-10-21","A3218","2019-08-27 16:21:39","A3218","2019-08-27 16:21:39","1"
"1","2019-10-23","A3218","2019-08-27 16:21:40","A3218","2019-08-27 16:21:40","1"
"1","2019-10-24","A3218","2019-08-27 16:21:40","A3218","2019-08-27 16:21:40","1"
"1","2019-10-25","A3218","2019-08-27 16:21:41","A3218","2019-08-27 16:21:41","1"
"1","2019-10-28","A3218","2019-08-27 16:21:42","A3218","2019-08-27 16:21:42","1"
"1","2019-10-29","A3218","2019-08-27 16:21:42","A3218","2019-08-27 16:21:42","1"
"1","2019-10-30","A3218","2019-08-27 16:21:43","A3218","2019-08-27 16:21:43","1"
"1","2019-10-31","A3218","2019-08-27 16:21:44","A3218","2019-08-27 16:21:44","1"
"1","2019-11-01","A3218","2019-08-27 16:21:46","A3218","2019-08-27 16:21:46","1"
"1","2019-11-05","A3218","2019-08-27 16:21:47","A3218","2019-08-27 16:21:47","1"
"1","2019-11-06","A3218","2019-08-27 16:21:48","A3218","2019-08-27 16:21:48","1"
"1","2019-11-07","A3218","2019-08-27 16:21:48","A3218","2019-08-27 16:21:48","1"
"1","2019-11-08","A3218","2019-08-27 16:21:49","A3218","2019-08-27 16:21:49","1"
"1","2019-11-11","A3218","2019-08-27 16:21:53","A3218","2019-08-27 16:21:53","1"
"1","2019-11-12","A3218","2019-08-27 16:21:53","A3218","2019-08-27 16:21:53","1"
"1","2019-11-13","A3218","2019-08-27 16:21:51","A3218","2019-08-27 16:21:51","1"
"1","2019-11-14","A3218","2019-08-27 16:21:51","A3218","2019-08-27 16:21:51","1"
"1","2019-11-15","A3218","2019-08-27 16:21:50","A3218","2019-08-27 16:21:50","1"
"1","2019-11-18","A3218","2019-08-27 16:21:55","A3218","2019-08-27 16:21:55","1"
"1","2019-11-19","A3218","2019-08-27 16:21:55","A3218","2019-08-27 16:21:55","1"
"1","2019-11-20","A3218","2019-08-27 16:21:56","A3218","2019-08-27 16:21:56","1"
"1","2019-11-21","A3218","2019-08-27 16:21:57","A3218","2019-08-27 16:21:57","1"
"1","2019-11-22","A3218","2019-08-27 16:21:58","A3218","2019-08-27 16:21:58","1"
"1","2019-11-25","A3218","2019-08-27 16:22:02","A3218","2019-08-27 16:22:02","1"
"1","2019-11-26","A3218","2019-08-27 16:22:01","A3218","2019-08-27 16:22:01","1"
"1","2019-11-27","A3218","2019-08-27 16:22:01","A3218","2019-08-27 16:22:01","1"
"1","2019-11-28","A3218","2019-08-27 16:22:00","A3218","2019-08-27 16:22:00","1"
"1","2019-11-29","A3218","2019-08-27 16:21:59","A3218","2019-08-27 16:21:59","1"
"1","2019-12-02","A3218","2019-08-27 16:22:05","A3218","2019-08-27 16:22:05","1"
