"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"20714","1","3","A3212","2019-08-09 17:20:13","A3212","2019-09-26 19:08:36","4"
"20715","1","4","A3212","2019-08-09 17:20:15","A3212","2019-09-26 19:08:42","3"
"20716","1","2","A3212","2019-08-09 17:20:12","A3212","2019-09-26 19:08:54","4"
"20717","1","1","A3212","2019-08-09 17:20:10","A3212","2019-09-26 19:09:01","2"
"20718","2","0","A1589","2017-11-17 10:35:25","A1589",\N,"1"
"20719","1","5","A3212","2019-08-09 17:20:16","A3212","2019-09-26 19:09:07","3"
"20720","4","1","A3212","2019-08-09 17:26:08","A3212","2019-09-26 19:09:13","4"
"20721","5","1","A1589","2019-08-09 17:21:29","A1589","2019-11-20 11:16:08","7"
"20722","5","2","A1589","2019-08-09 17:21:31","A1589","2019-11-20 11:16:16","5"
"20723","5","3","A1589","2019-08-09 17:21:33","A1589","2019-11-20 11:16:23","6"
"20724","5","4","A1589","2019-08-09 17:21:34","A1589","2019-11-20 11:16:31","3"
"20725","5","5","A1589","2019-08-09 17:21:36","A1589","2019-11-20 11:16:42","8"
"20726","6","1","A1589","2019-08-09 17:26:25","A1589","2019-11-20 11:41:11","6"
"20727","7","1","A1589","2019-08-09 17:33:16","A1589","2019-11-20 11:16:51","5"
