"USER_NO","MODULE_ID","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
82028,30,system,2018-02-02 23:15:24,system,2018-02-02 23:15:24,1
82028,31,system,2018-02-02 23:15:24,system,2018-02-02 23:15:24,1
82028,32,system,2018-02-02 23:15:24,system,2018-02-02 23:15:24,1
82028,33,system,2018-02-02 23:15:24,system,2018-02-02 23:15:24,1
82028,36,system,2018-02-02 23:15:24,system,2018-02-02 23:15:24,1
82028,37,system,2018-02-02 23:15:24,system,2018-02-02 23:15:24,1
82028,38,system,2018-02-02 23:15:24,system,2018-02-02 23:15:24,1
82028,150,system,2018-02-02 23:15:24,system,2018-02-02 23:15:24,1
82028,203,system,2018-02-02 23:15:24,system,2018-02-02 23:15:24,1
