"LINE_ID","SHIFT_CALENDAR_ID","SHIFT_ID","REPETITION_TP","REPETITION_DATA","SETTING_NAME","TIMEZONE_PATTERN_ID","DISPLAY_TEXT","BACKGROUND_COLOR","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A3219","2019-10-04 11:40:25","A3219","2019-10-04 11:40:25","1"
"1","1","1","2","9_2","繰り返し設定1","1","","FFFFFF","A3219","2019-10-04 11:40:25","A3219","2019-10-04 11:40:25","1"
"1","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A3219","2019-10-04 11:40:25","A3219","2019-10-04 11:40:25","1"
"1","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A3219","2019-10-04 11:40:25","A3219","2019-10-04 11:40:25","1"
"1","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A3219","2019-10-04 11:40:25","A3219","2019-10-04 11:40:25","1"
"2","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A3219","2019-10-04 11:41:23","A3219","2019-10-04 11:41:23","1"
"2","1","1","2","9_2","繰り返し設定1","1","","FFFFFF","A3219","2019-10-04 11:41:23","A3219","2019-10-04 11:41:23","1"
"2","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A3219","2019-10-04 11:41:23","A3219","2019-10-04 11:41:23","1"
"2","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A3219","2019-10-04 11:41:23","A3219","2019-10-04 11:41:23","1"
"2","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A3219","2019-10-04 11:41:23","A3219","2019-10-04 11:41:23","1"
"3","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2636","2018-07-11 18:00:45","A2636","2018-07-11 18:00:45","1"
"3","1","1","2","9_2","繰り返し設定1","1","","FFFFFF","A2636","2018-07-11 18:00:45","A2636","2018-07-11 18:00:45","1"
"3","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2636","2018-07-11 18:00:45","A2636","2018-07-11 18:00:45","1"
"3","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2636","2018-07-11 18:00:45","A2636","2018-07-11 18:00:45","1"
"3","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A2636","2018-07-11 18:00:45","A2636","2018-07-11 18:00:45","1"
"4","1","1","2","9_1","繰り返し設定1","1","","FFFFFF","A2636","2018-07-24 15:43:34","A2636","2018-07-24 15:43:34","1"
"4","1","1","2","9_2","繰り返し設定1","1","","FFFFFF","A2636","2018-07-24 15:43:34","A2636","2018-07-24 15:43:34","1"
"4","1","1","2","9_4","繰り返し設定1","1","","FFFFFF","A2636","2018-07-24 15:43:34","A2636","2018-07-24 15:43:34","1"
"4","1","1","2","9_5","繰り返し設定1","1","","FFFFFF","A2636","2018-07-24 15:43:34","A2636","2018-07-24 15:43:34","1"
"4","1","1","2","9_6","繰り返し設定1","1","","FFFFFF","A2636","2018-07-24 15:43:34","A2636","2018-07-24 15:43:34","1"
