"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","2","2","B80814","2019-12-14 11:06:39","B80814",\N,"1"
"2","1","2","B80814","2019-12-14 11:06:10","B80814",\N,"1"
"3","2","4","B80814","2019-12-14 11:06:43","B80814",\N,"1"
"4","2","3","B80814","2019-12-14 11:06:41","B80814",\N,"1"
"5","1","1","B80814","2019-12-14 11:06:08","B80814",\N,"1"
"8","3","1","A1589","2018-01-26 16:23:16","A1589",\N,"1"
"9","4","1","B80814","2019-12-14 11:06:27","B80814",\N,"1"
"10","2","1","B80814","2019-12-14 11:06:38","B80814",\N,"1"
"11","5","1","B80814","2019-12-14 11:05:58","B80814",\N,"1"
"12","5","2","B80814","2019-12-14 11:05:59","B80814",\N,"1"
"13","6","1","B80814","2019-09-05 12:31:53","B80814","2020-03-16 14:50:59","6"
"14","6","2","B80814","2019-09-05 12:31:55","B80814","2020-03-16 14:50:41","5"
"15","8","1","A3271","2019-09-05 12:33:20","A3271","2019-11-27 10:17:38","4"
"16","7","1","A3271","2019-09-05 12:32:42","A3271","2019-11-27 10:17:52","4"
"17","7","2","A3271","2019-09-05 12:32:43","A3271","2019-11-27 10:18:08","4"
"18","9","0","B80814","2020-03-14 11:22:25","B80814","2020-03-14 13:57:05","8"
"19","9","0","B80814","2020-03-14 11:23:38","B80814","2020-03-14 13:55:10","7"
