"APPOINT_ID","RESERVATION_TYPE","RESERVATION_METHOD","LINE_ID","TIMEZONE_PATTERN_ID","TIMEZONE_ID","APPOINT_DATE","APPOINT_DAY","LINE_NAME","TIMEZONE_NAME","RESERVATION_FRAMES","AUTO_RESERVATION_SETTING","LINE_NUM","SPARE_LINE_NUM","START_TIME","END_TIME","START_NUMBER","LINE_APPOINT_TYPE","LINE_APPOINT_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"1","2",\N,"1","1","1","2019-03-20","3","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A2062","2019-03-19 13:02:24","A2062","2019-03-25 11:28:16","1","2"
"2","2",\N,"1","1","1","2019-03-20","3","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","1","1","A2062","2019-03-19 13:02:24","A2062","2019-03-25 11:28:16","1","2"
"3","2",\N,"1","1","1","2019-03-22","5","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A2062","2019-03-25 11:28:16","A2062","2019-03-25 11:28:16","0","1"
"4","2",\N,"1","1","1","2019-03-22","5","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","1","1","A2062","2019-03-25 11:28:16","A2062","2019-03-25 11:28:16","0","1"
"5","2",\N,"1","1","1","2019-05-18","6","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A2062","2019-05-17 12:59:10","A2062","2019-05-17 12:59:10","0","1"
"6","2",\N,"1","1","1","2019-05-18","6","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","1","1","A2062","2019-05-17 12:59:10","A2062","2019-05-17 12:59:10","0","1"
"7","2",\N,"1","1","1","2019-05-30","4","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A2062","2019-05-28 12:23:15","A2062","2019-05-28 12:23:15","0","1"
"8","2",\N,"1","1","1","2019-05-30","4","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","1","1","A2062","2019-05-28 12:23:15","A2062","2019-05-28 12:23:15","0","1"
"9","2",\N,"1","1","1","2019-08-28","3","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A2062","2019-07-08 16:21:03","A2062","2019-07-12 11:33:34","1","2"
"10","2",\N,"1","1","1","2019-08-28","3","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","1","1","A2062","2019-07-08 16:21:03","A2062","2019-07-12 11:33:34","1","2"
"11","2",\N,"1","1","1","2019-08-29","4","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A2062","2019-07-12 11:33:34","A2062","2019-07-12 11:33:34","0","1"
"12","2",\N,"1","1","1","2019-08-29","4","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","1","1","A2062","2019-07-12 11:33:34","A2062","2019-07-12 11:33:34","0","1"
"13","2",\N,"1","1","1","2019-11-16","6","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A3210","2019-11-07 12:56:44","A3210","2019-11-07 12:56:44","0","1"
"14","2",\N,"1","1","1","2019-11-16","6","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","1","1","A3210","2019-11-07 12:56:44","A3210","2019-11-07 12:56:44","0","1"
"15","2",\N,"1","1","1","2019-11-18","1","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A3215","2019-11-11 16:10:52","A3215","2019-11-11 16:10:52","0","1"
"16","2",\N,"1","1","1","2019-11-18","1","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","1","1","A3215","2019-11-11 16:10:52","A3215","2019-11-11 16:10:52","0","1"
"17","2",\N,"1","1","1","2019-12-06","5","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A3271","2019-12-05 11:15:13","A3271","2019-12-05 11:15:13","0","1"
"18","2",\N,"1","1","1","2019-12-06","5","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","1","1","A3271","2019-12-05 11:15:13","A3271","2019-12-05 11:15:13","0","1"
"19","2",\N,"1","1","1","2019-12-18","3","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","9",\N,"A3271","2019-12-16 11:27:17","A3271","2019-12-16 11:27:17","0","1"
"20","2",\N,"1","1","1","2019-12-18","3","WEB予約受付ない","帯1","0",\N,"3","0","0000","2300","1","1","1","A3271","2019-12-16 11:27:17","A3271","2019-12-16 11:27:17","0","1"
