"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"21501","6","0","A2062","2017-11-09 12:01:34","A2062",\N,"1"
"21502","5","1","A3220","2019-09-04 18:37:20","A3220",\N,"1"
"21503","5","10","B59437","2019-09-04 18:37:35","B59437","2019-09-27 20:53:25","2"
"21504","5","9","A3220","2019-09-04 18:37:33","A3220",\N,"1"
"21505","5","8","B59437","2019-09-04 18:37:31","B59437","2019-09-27 20:52:37","2"
"21506","5","7","A3220","2019-09-04 18:37:30","A3220",\N,"1"
"21507","3","1","B59437","2019-09-04 18:36:21","B59437","2019-09-27 20:53:54","2"
"21508","3","2","A3220","2019-09-04 18:36:22","A3220",\N,"1"
"21509","2","0","B59437","2017-11-09 11:53:35","B59437","2019-09-27 20:54:40","7"
"21511","13","3","B59437","2019-04-04 13:27:37","B59437",\N,"1"
"21512","10","2","B59437","2019-09-04 18:34:58","B59437","2019-09-27 20:55:14","2"
"21513","10","1","B59437","2019-09-04 18:34:56","B59437","2019-09-27 20:54:59","2"
"21514","1","3","A3220","2019-09-04 18:35:41","A3220",\N,"1"
"21515","1","2","A3220","2019-09-04 18:35:39","A3220",\N,"1"
"21516","5","6","A3220","2019-09-04 18:37:28","A3220","2019-09-05 10:57:43","2"
"21736","3","3","B59437","2019-09-04 18:36:24","B59437","2019-09-27 20:55:56","2"
"21737","3","4","B59437","2019-09-04 18:36:26","B59437","2019-09-27 20:56:10","2"
"21773","7","1","A3220","2019-09-04 18:38:20","A3220",\N,"1"
"21774","8","0","A2062","2017-11-02 18:18:14","A2062",\N,"1"
"21775","3","5","B59437","2019-09-04 18:36:27","B59437","2019-09-27 20:53:39","2"
"21776","5","5","B59437","2019-09-04 18:37:27","B59437","2019-09-27 20:52:49","2"
"21777","5","4","B59437","2019-09-04 18:37:25","B59437","2019-09-27 20:53:09","2"
"21778","11","1","B59437","2019-09-04 18:39:15","B59437","2019-09-27 20:51:50","2"
"21779","5","3","B59437","2019-09-04 18:37:23","B59437","2019-09-27 20:52:24","2"
"21780","13","2","B59437","2019-04-04 13:27:35","B59437","2019-09-27 20:55:43","5"
"21781","13","1","B59437","2019-04-04 13:27:34","B59437","2019-09-27 20:55:28","4"
"21782","11","2","B59437","2019-09-04 18:39:17","B59437","2019-09-27 20:56:23","2"
"21783","5","2","B59437","2019-09-04 18:37:22","B59437","2019-09-27 20:56:37","2"
"21784","6","0","B59437","2017-11-09 12:01:34","B59437","2019-09-27 20:54:28","12"
"21785","7","2","B59437","2019-09-04 18:38:22","B59437","2019-09-27 20:54:14","2"
"21786","27","1","A3219","2017-11-28 15:41:44","A3219","2019-10-11 09:49:43","15"
"21787","7","3","A3220","2019-09-04 18:38:24","A3220","2019-09-05 10:48:01","2"
"21788","3","6","A3220","2019-09-04 18:36:29","A3220",\N,"1"
"21789","1","1","B59437","2019-09-04 18:35:38","B59437","2019-09-27 20:57:01","2"
"21790","14","1","B59437","2019-04-11 14:21:04","B59437","2019-09-27 20:57:36","7"
"21791","15","1","B59437","2019-09-04 18:39:57","B59437","2019-09-27 20:57:26","2"
"21792","15","2","B59437","2019-09-04 18:39:59","B59437","2019-09-27 20:57:12","2"
"21793","25","1","A3271","2019-09-27 19:36:53","A3271","2019-10-10 16:56:22","8"
"21794","25","2","A3271","2019-09-27 19:36:54","A3271","2019-10-10 17:05:57","8"
"21795","24","1","A3271","2019-09-04 18:36:55","A3271","2019-10-10 16:50:49","8"
"21796","20","1","A3219","2019-09-04 18:38:37","A3219","2019-10-11 09:49:26","7"
"21797","16","1","A3219","2019-09-27 20:13:45","A3219","2019-10-11 09:50:27","6"
"21798","16","2","A3219","2019-09-27 20:13:47","A3219","2019-10-11 09:50:41","9"
"21799","24","2","A3212","2019-09-04 18:36:57","A3212","2019-10-30 11:17:35","9"
"21800","18","3","A3220","2019-09-04 18:36:59","A3220",\N,"1"
"21801","26","2","A3219","2019-09-04 18:39:32","A3219","2019-10-11 09:49:11","10"
"21802","17","1","A3219","2019-09-04 18:35:57","A3219","2019-10-11 09:52:21","8"
"21803","22","3","B59437","2019-10-23 22:03:57","B59437",\N,"1"
"21804","23","0","A3271","2019-09-27 18:25:42","A3271","2019-10-10 16:45:17","6"
"21805","28","0","A3219","2019-09-27 20:26:24","A3219","2019-10-11 09:53:04","6"
"21806","27","0","A3212","2019-09-27 20:45:24","A3212","2019-10-30 11:17:52","9"
"21807","23","0","A3219","2019-09-27 21:01:42","A3219","2019-10-11 09:52:00","6"
"21808","24","0","A3219","2019-09-27 21:06:22","A3219","2019-10-11 09:51:47","6"
"21809","22","1","B59437","2019-10-23 22:03:53","B59437",\N,"1"
"21810","22","2","B59437","2019-10-23 22:03:55","B59437",\N,"1"
"21811","30","1","B59437","2019-10-23 22:07:13","B59437",\N,"1"
"21812","29","0","A3219","2019-09-30 13:26:40","A3219","2019-10-11 09:51:03","14"
"21813","30","2","B59437","2019-10-23 22:07:14","B59437",\N,"1"
