"USER_NO","MODULE_ID","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
37599,30,A2064,2017-12-12 15:44:50,A2064,2017-12-12 15:44:50,1
37599,31,A2064,2017-12-12 15:44:50,A2064,2017-12-12 15:44:50,1
37599,32,A2064,2017-12-12 15:44:49,A2064,2017-12-12 15:44:49,1
37599,33,A2064,2017-12-12 15:44:49,A2064,2017-12-12 15:44:49,1
37599,36,A2064,2017-12-12 15:44:49,A2064,2017-12-12 15:44:49,1
37599,37,A2064,2017-12-12 15:44:50,A2064,2017-12-12 15:44:50,1
37599,38,A2064,2017-12-12 15:44:50,A2064,2017-12-12 15:44:50,1
37599,150,A2064,2017-12-12 15:44:50,A2064,2017-12-12 15:44:50,1
37599,203,A2064,2017-12-12 15:44:50,A2064,2017-12-12 15:44:50,1
84451,30,B84451,2018-05-10 14:17:02,B84451,2018-05-10 14:17:02,1
84451,31,B84451,2018-05-10 14:17:01,B84451,2018-05-10 14:17:01,1
84451,32,B84451,2018-05-10 14:17:01,B84451,2018-05-10 14:17:01,1
84451,33,B84451,2018-05-10 14:17:01,B84451,2018-05-10 14:17:01,1
84451,36,B84451,2018-05-10 14:17:01,B84451,2018-05-10 14:17:01,1
84451,37,B84451,2018-05-10 14:17:01,B84451,2018-05-10 14:17:01,1
84451,38,B84451,2018-05-10 14:17:01,B84451,2018-05-10 14:17:01,1
84451,150,B84451,2018-05-10 14:17:01,B84451,2018-05-10 14:17:01,1
84451,203,B84451,2018-05-10 14:17:02,B84451,2018-05-10 14:17:02,1
84940,30,A2064,2018-05-28 10:30:10,A2064,2018-05-28 10:30:10,1
84940,31,A2064,2018-05-28 10:30:01,A2064,2018-05-28 10:30:01,1
84940,32,A2064,2018-05-28 10:30:05,A2064,2018-05-28 10:30:05,1
84940,33,A2064,2018-05-28 10:30:06,A2064,2018-05-28 10:30:06,1
84940,36,A2064,2018-05-28 10:30:07,A2064,2018-05-28 10:30:07,1
84940,37,A2064,2018-05-28 10:30:08,A2064,2018-05-28 10:30:08,1
84940,38,A2064,2018-05-28 10:30:08,A2064,2018-05-28 10:30:08,1
84940,150,A2064,2018-05-28 10:30:09,A2064,2018-05-28 10:30:09,1
84940,203,A2064,2018-05-28 10:30:09,A2064,2018-05-28 10:30:09,1
100750,30,A3211,2019-08-19 09:53:56,A3211,2019-08-19 09:53:56,1
100750,31,A3211,2019-08-19 09:53:55,A3211,2019-08-19 09:53:55,1
100750,32,A3211,2019-08-19 09:53:56,A3211,2019-08-19 09:53:56,1
100750,33,A3211,2019-08-19 09:53:56,A3211,2019-08-19 09:53:56,1
100750,36,A3211,2019-08-19 09:53:56,A3211,2019-08-19 09:53:56,1
100750,37,A3211,2019-08-19 09:53:56,A3211,2019-08-19 09:53:56,1
100750,38,A3211,2019-08-19 09:53:56,A3211,2019-08-19 09:53:56,1
100750,150,A3211,2019-08-19 09:53:56,A3211,2019-08-19 09:53:56,1
100750,203,A3211,2019-08-19 09:53:56,A3211,2019-08-19 09:53:56,1
