"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"21229","1","3","A3220","2017-12-13 11:11:56","A3220","2019-09-30 20:52:31","8"
"21230","1","1","A3220","2017-12-13 11:11:56","A3220","2019-09-30 20:51:43","7"
"21668","1","4","A3220","2017-12-13 11:11:56","A3220","2019-09-30 20:52:44","8"
"21669","1","2","A3220","2017-12-13 11:11:56","A3220","2019-09-30 20:51:57","7"
"21670","3","0","A3220","2017-11-09 14:58:44","A3220","2019-08-06 15:40:03","3"
"21671","4","1","A3220","2019-08-06 15:24:48","A3220","2019-09-30 20:53:42","7"
"21672","4","2","A3220","2019-08-06 15:24:49","A3220","2019-09-30 20:54:25","7"
"21673","4","3","A3220","2019-08-06 15:24:51","A3220","2019-09-30 20:55:00","5"
"21674","4","4","A3220","2019-08-06 15:24:53","A3220","2019-09-30 20:55:49","5"
