"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","6","0","A3211","2020-02-12 11:31:13","A3211","2020-02-12 11:38:37","3"
"2","6","1","A3210","2019-09-05 10:04:21","A3210","2020-02-03 11:47:20","3"
"3","4","1","A3271","2020-02-18 18:13:11","A3271",\N,"1"
"4","7","1","A3271","2020-02-18 18:16:16","A3271",\N,"1"
"5","3","1","A3271","2019-09-18 09:35:47","A3271","2019-11-27 11:14:14","3"
"6","2","2","A3271","2019-06-11 11:17:23","A3271","2019-11-27 11:14:35","10"
"7","13","1","A3213","2019-09-18 09:35:59","A3213","2019-09-18 13:15:22","2"
"8","1","1","A1589","2017-12-01 18:11:12","A1589",\N,"1"
"9","2","1","A3210","2019-06-11 11:17:21","A3210","2020-02-03 11:46:33","9"
"10","9","1","A3213","2019-06-11 11:45:50","A3213","2019-09-18 13:14:58","6"
"11","10","1","A3213","2019-06-11 11:17:29","A3213","2019-09-18 13:15:11","10"
"12","11","1","A3210","2019-06-18 09:58:53","A3210","2020-02-03 11:46:45","5"
"13","11","2","A3210","2019-06-18 09:58:55","A3210","2020-02-03 11:47:02","4"
"16","9","0","A1589","2019-09-09 17:29:10","A1589",\N,"1"
"17","2","0","A3271","2019-09-10 18:58:19","A3271","2019-11-27 11:13:13","4"
"18","14","2","A3211","2020-02-12 11:44:20","A3211",\N,"1"
"19","15","1","A3219","2019-09-20 18:04:17","A3219","2019-10-21 10:22:14","2"
"20","15","2","A3219","2019-09-20 18:04:19","A3219","2019-10-21 10:22:22","2"
"21","15","5","A3219","2019-09-20 18:04:24","A3219","2019-10-21 10:22:32","2"
"22","15","6","A3219","2019-09-20 18:04:25","A3219","2019-10-21 10:22:41","2"
"23","15","4","A3219","2019-09-20 18:04:22","A3219","2019-10-21 10:23:00","3"
"24","15","3","A3219","2019-09-20 18:04:21","A3219","2019-10-21 10:23:14","5"
"25","16","2","A3211","2019-09-25 16:08:31","A3211","2019-12-26 16:37:44","4"
"26","16","1","A3210","2019-09-25 16:08:30","A3210","2019-12-20 17:46:49","4"
"27","16","3","A3210","2019-09-25 16:08:33","A3210","2019-12-20 17:47:05","4"
"28","5","0","A3211","2020-02-12 11:19:37","A3211","2020-02-12 11:33:09","3"
"29","12","1","A3210","2020-02-12 11:40:18","A3210","2020-03-25 17:38:28","3"
"30","14","1","A3210","2020-02-12 11:44:19","A3210","2020-03-25 17:38:39","3"
"31","18","1","A3210","2020-02-18 18:16:35","A3210","2020-03-25 17:37:45","2"
"32","17","1","A3210","2020-02-18 18:13:43","A3210","2020-03-25 17:37:58","2"
"33","17","2","A3210","2020-02-18 18:13:45","A3210","2020-03-25 17:38:15","2"
