"tax_class","life_time_from","life_time_to","tax_class_name","tax_rate","rgst","updt","created_id","updated_id"
"0","2014-04-01","2037-12-31","なし","0","2017-06-06 00:00:00","2017-06-06 00:00:00",NULL,NULL
"1","2014-04-01","2037-12-31","消費税８％","8","2017-06-06 00:00:00","2017-06-06 00:00:00",NULL,NULL
