"pref","rail","status","register","updater","rgst","updt","created_id","updated_id"
"3","57","1","0","0","2014-07-28 21:50:57","2017-06-29 12:02:49","batch","batch"
"3","1287","1","0","0","2017-06-29 12:02:49","2017-06-29 12:02:49","batch","batch"
"4","28","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","42","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","50","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","51","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","53","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","63","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","64","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","65","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","66","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","67","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","68","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","69","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","70","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","72","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","73","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","74","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","75","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","76","1","0","0","2014-07-28 21:51:02","2017-06-29 12:02:49","batch","batch"
"4","924","1","0","0","2017-06-29 12:02:49","2017-06-29 12:02:49","batch","batch"
"4","1292","1","0","0","2017-06-29 12:02:49","2017-06-29 12:02:49","batch","batch"
"5","29","1","0","0","2014-07-28 21:51:07","2017-06-29 12:02:49","batch","batch"
"5","33","1","0","0","2014-07-28 21:51:07","2017-06-29 12:02:49","batch","batch"
"5","42","1","0","0","2014-07-28 21:51:07","2017-06-29 12:02:49","batch","batch"
"5","44","1","0","0","2014-07-28 21:51:07","2017-06-29 12:02:49","batch","batch"
"5","45","1","0","0","2014-07-28 21:51:07","2017-06-29 12:02:49","batch","batch"
"5","49","1","0","0","2014-07-28 21:51:07","2017-06-29 12:02:49","batch","batch"
"5","80","1","0","0","2014-07-28 21:51:07","2017-06-29 12:02:49","batch","batch"
"5","82","1","0","0","2014-07-28 21:51:07","2017-06-29 12:02:49","batch","batch"
"5","85","1","0","0","2014-07-28 21:51:07","2017-06-29 12:02:49","batch","batch"
"5","86","1","0","0","2014-07-28 21:51:07","2017-06-29 12:02:49","batch","batch"
"6","33","1","0","0","2014-07-28 21:51:12","2017-06-29 12:02:49","batch","batch"
"6","67","1","0","0","2014-07-28 21:51:12","2017-06-29 12:02:49","batch","batch"
"6","69","1","0","0","2014-07-28 21:51:12","2017-06-29 12:02:49","batch","batch"
"6","82","1","0","0","2014-07-28 21:51:12","2017-06-29 12:02:49","batch","batch"
"6","87","1","0","0","2014-07-28 21:51:12","2017-06-29 12:02:49","batch","batch"
"6","91","1","0","0","2014-07-28 21:51:12","2017-06-29 12:02:49","batch","batch"
"6","93","1","0","0","2014-07-28 21:51:12","2017-06-29 12:02:49","batch","batch"
"6","94","1","0","0","2014-07-28 21:51:12","2017-06-29 12:02:49","batch","batch"
"6","95","1","0","0","2014-07-28 21:51:12","2017-06-29 12:02:49","batch","batch"
"7","28","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"7","33","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"7","42","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"7","70","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"7","73","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"7","75","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"7","87","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"7","102","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"7","103","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"7","104","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"7","105","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"7","107","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"7","108","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"7","109","1","0","0","2014-07-28 21:51:17","2017-06-29 12:02:49","batch","batch"
"8","73","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"8","105","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"8","110","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"8","113","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"8","114","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"8","115","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"8","116","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"8","117","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"8","118","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"8","119","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"8","120","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"8","121","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"8","122","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"8","123","1","0","0","2014-07-28 21:51:22","2017-06-29 12:02:49","batch","batch"
"9","28","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","42","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","70","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","87","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","109","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","110","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","114","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","122","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","129","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","130","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","132","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","133","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","134","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","135","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","136","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","137","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"9","140","1","0","0","2014-07-28 21:51:27","2017-06-29 12:02:49","batch","batch"
"10","132","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","133","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","134","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","135","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","140","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","141","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","142","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","143","X","0","0","2014-07-28 21:51:32","2014-07-28 21:51:32","batch","batch"
"10","144","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","146","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","147","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","148","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","149","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","152","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","153","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","154","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","157","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"10","158","1","0","0","2014-07-28 21:51:32","2017-06-29 12:02:49","batch","batch"
"11","28","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","42","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","87","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","110","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","123","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","133","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","135","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","141","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","142","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","148","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","149","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","165","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","167","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","169","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","170","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","171","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","172","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","173","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","176","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","177","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","178","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","179","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","180","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","181","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","182","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","183","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","184","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","185","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","186","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","187","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","188","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","189","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","190","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"11","191","1","0","0","2014-07-28 21:51:37","2017-06-29 12:02:49","batch","batch"
"12","73","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","115","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","116","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","117","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","123","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","165","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","176","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","195","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","196","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","197","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","198","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","199","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","200","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","201","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","202","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","203","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","204","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","205","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","206","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","210","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","212","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","213","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","214","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","215","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","216","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","217","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","218","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","219","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","220","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","221","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","222","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","223","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","224","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","225","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","226","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","227","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","228","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","229","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","230","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","231","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","232","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"12","233","1","0","0","2014-07-28 21:51:43","2017-06-29 12:02:49","batch","batch"
"13","28","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","42","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","73","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","87","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","110","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","116","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","117","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","123","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","141","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","142","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","148","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","165","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","167","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","170","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","171","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","172","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","173","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","177","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","179","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","184","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","185","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","186","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","187","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","191","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","202","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","203","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","204","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","210","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","213","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","217","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","218","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
"13","219","1","0","0","2014-07-28 21:51:48","2017-06-29 12:02:49","batch","batch"
