"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","1","B90306","2019-09-19 17:07:36","B90306","2019-09-19 17:30:10","2"
"2","2","1","B90306","2019-09-19 17:07:46","B90306","2019-09-19 17:30:34","2"
"3","3","1","B90306","2019-09-19 17:08:03","B90306","2019-09-19 17:30:57","2"
"4","4","1","B90306","2019-09-19 17:08:11","B90306","2019-09-19 17:31:46","2"
"5","5","1","B90306","2019-09-19 17:08:20","B90306","2019-09-19 17:33:28","2"
"6","6","1","B90306","2019-09-19 17:08:28","B90306","2019-09-19 17:32:51","2"
"7","7","1","A2636","2019-04-01 15:56:03","A2636",\N,"1"
"8","9","1","B90306","2019-09-19 17:23:00","B90306","2020-04-07 14:54:47","4"
"9","10","1","B90306","2019-09-19 17:17:22","B90306","2020-04-07 14:55:20","4"
"10","11","1","B90306","2019-09-03 10:19:58","B90306","2020-04-07 14:55:48","4"
"11","12","1","B90306","2019-09-03 10:20:43","B90306","2020-04-07 14:56:17","4"
"12","13","1","B90306","2019-09-03 10:22:14","B90306","2020-04-07 14:56:49","5"
"13","14","1","B90306","2019-09-03 10:22:59","B90306","2020-04-07 14:57:19","4"
