"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","6","A3271","2019-09-18 09:32:31","A3271","2019-11-27 11:35:14","3"
"2","1","4","A3271","2019-09-18 09:32:27","A3271","2019-11-27 11:35:29","3"
"3","1","3","A3271","2019-09-18 09:32:26","A3271","2019-11-27 11:36:11","3"
"4","1","8","A3271","2019-09-18 09:32:34","A3271","2019-11-27 11:36:39","3"
"5","1","7","A3271","2019-09-18 09:32:32","A3271","2019-11-27 11:37:06","3"
"6","8","4","A3271","2019-09-18 09:31:11","A3271","2019-11-27 11:37:40","3"
"7","5","1","A3271","2019-09-18 09:31:46","A3271","2019-11-27 11:38:09","3"
"8","1","5","A3271","2019-09-18 09:32:29","A3271","2019-11-27 11:38:02","3"
"9","5","6","A3271","2019-09-18 09:31:55","A3271","2019-11-27 11:37:20","4"
"10","1","1","A3271","2019-09-18 09:32:22","A3271","2019-11-27 11:36:28","4"
"11","8","2","A3271","2019-09-18 09:31:07","A3271","2019-11-27 11:35:15","4"
"12","8","1","A3271","2019-09-18 09:31:06","A3271","2019-11-27 11:34:42","4"
"13","8","3","A3271","2019-09-18 09:31:09","A3271","2019-11-27 11:28:57","4"
"14","5","3","A3271","2019-09-18 09:31:50","A3271","2019-11-27 11:28:06","4"
"15","5","2","A3271","2019-09-18 09:31:48","A3271","2019-11-27 11:27:23","4"
"16","5","4","A3271","2019-09-18 09:31:51","A3271","2019-11-27 11:26:46","5"
"17","5","7","A3271","2019-09-18 09:31:56","A3271","2019-11-27 11:26:02","5"
"18","5","8","A3271","2019-09-18 09:31:58","A3271","2019-11-27 11:25:27","5"
"19","5","9","A3271","2019-09-18 09:32:00","A3271","2019-11-27 11:24:33","4"
"20","10","1","A2636","2019-02-13 17:52:56","A2636",\N,"1"
"21","16","9","A3210","2019-09-27 15:01:36","A3210","2020-03-25 18:30:12","5"
"22","16","8","A3210","2019-09-27 15:01:34","A3210","2020-03-25 18:30:28","5"
"23","16","7","A3210","2019-09-27 15:01:32","A3210","2020-03-25 18:30:38","4"
"25","16","3","A3210","2019-09-27 15:01:26","A3210","2020-03-25 18:31:17","4"
"26","12","2","A3210","2019-09-27 15:00:21","A3210","2020-03-25 18:33:23","4"
"27","16","1","A3210","2019-09-27 15:01:22","A3210","2020-03-25 18:35:04","4"
"28","18","3","A3210","2019-09-27 15:03:35","A3210","2020-03-25 18:31:30","5"
"29","18","1","A3210","2019-09-27 15:03:31","A3210","2020-03-25 18:31:44","6"
"30","18","4","A3210","2019-09-27 15:03:36","A3210","2020-03-25 18:35:37","3"
"31","12","7","A3210","2019-09-27 15:00:29","A3210","2020-03-25 18:35:49","3"
"32","12","8","A3210","2019-09-27 15:00:31","A3210","2020-03-25 18:36:00","3"
"33","12","4","A3210","2019-09-27 15:00:24","A3210","2020-03-25 18:36:45","3"
"34","12","3","A3210","2019-09-27 15:00:22","A3210","2020-03-25 18:36:33","3"
"35","12","6","A3210","2019-09-27 15:00:28","A3210","2020-03-25 18:36:57","3"
"36","12","5","A3210","2019-09-27 15:00:26","A3210","2020-03-25 18:34:52","3"
"37","12","1","A3210","2019-09-27 15:00:19","A3210","2020-03-25 18:33:36","5"
"38","18","2","A3210","2019-09-27 15:03:33","A3210","2020-03-25 18:33:10","5"
"39","16","5","A3210","2019-09-27 15:01:29","A3210","2020-03-25 18:34:04","4"
"40","16","4","A3210","2019-09-27 15:01:27","A3210","2020-03-25 18:30:54","4"
"42","16","2","A3210","2019-09-27 15:01:24","A3210","2020-03-25 18:31:05","4"
"43","1","2","A3271","2019-09-18 09:32:24","A3271","2019-11-27 11:35:50","4"
"44","5","5","A3211","2019-09-18 09:31:53","A3211","2019-09-27 15:32:13","3"
"45","16","6","A3210","2019-09-27 15:01:31","A3210","2020-03-25 18:34:40","6"
