"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","4","1","A3271","2019-09-20 10:31:41","A3271","2019-11-21 17:31:31","2"
"2","3","1","A3271","2019-09-20 10:31:34","A3271","2019-11-21 17:30:58","4"
"3","2","1","A3271","2019-09-20 10:31:09","A3271","2019-11-21 17:30:41","4"
"4","5","1","A3271","2019-09-20 10:31:48","A3271","2019-11-21 17:31:54","4"
"5","1","1","A2636","2019-05-17 18:44:49","A2636",\N,"1"
"6","6","1","A3271","2019-09-20 10:31:54","A3271","2019-11-21 17:32:22","5"
"7","7","1","A3271","2019-09-20 10:32:01","A3271","2019-11-21 17:32:35","6"
"8","7","2","A3271","2019-09-20 10:32:03","A3271","2019-11-21 17:32:49","4"
"9","7","3","A3271","2019-09-20 10:32:04","A3271","2019-11-21 17:33:04","5"
"10","3","0","A3271","2019-10-02 15:10:41","A3271","2019-11-21 17:31:10","3"
"11","5","0","A3271","2019-10-02 15:16:42","A3271","2019-11-21 17:32:08","3"
