"APPOINT_ID","RESERVATION_TYPE","RESERVATION_METHOD","LINE_ID","TIMEZONE_PATTERN_ID","TIMEZONE_ID","APPOINT_DATE","APPOINT_DAY","LINE_NAME","TIMEZONE_NAME","RESERVATION_FRAMES","AUTO_RESERVATION_SETTING","LINE_NUM","SPARE_LINE_NUM","START_TIME","END_TIME","START_NUMBER","LINE_APPOINT_TYPE","LINE_APPOINT_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"25","2",\N,"3","5","1","2019-10-18","5","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2019-10-03 12:03:53","A3213","2019-10-08 14:01:54","1","2"
"26","2",\N,"3","5","1","2019-10-18","5","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2019-10-03 12:03:53","A3213","2019-10-08 14:01:54","1","2"
"27","2",\N,"3","4","1","2019-11-09","6","カレンダー3","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2019-10-03 19:52:41","A3213","2019-10-15 17:27:28","1","2"
"28","2",\N,"3","4","1","2019-11-09","6","カレンダー3","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2019-10-03 19:52:41","A3213","2019-10-15 17:27:28","1","2"
"29","2",\N,"3","4","1","2019-10-16","3","カレンダー3","帯1","0",\N,"1","0","0000","2300","1","9",\N,"A3213","2019-10-08 14:01:54","A3213","2019-10-08 14:01:54","0","1"
"30","2",\N,"3","4","1","2019-10-16","3","カレンダー3","帯1","0",\N,"1","0","0000","2300","1","1","1","A3213","2019-10-08 14:01:54","A3213","2019-10-08 14:01:54","0","1"
"31","2",\N,"3","5","1","2019-11-11","1","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","9",\N,"A3213","2019-10-15 17:27:28","A3213","2019-10-15 17:27:28","0","1"
"32","2",\N,"3","5","1","2019-11-11","1","カレンダー3","帯1","0",\N,"2","0","0000","2300","1","1","1","A3213","2019-10-15 17:27:28","A3213","2019-10-15 17:27:28","0","1"
"33","2",\N,"2","25","1","2019-10-30","3","カレンダー2","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2019-10-22 18:01:40","CUSTUMER","2019-10-22 18:01:40","0","1"
"34","2",\N,"2","25","1","2019-10-30","3","カレンダー2","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2019-10-22 18:01:40","CUSTUMER","2019-10-22 18:01:40","0","1"
