"APPOINT_ID","RESERVATION_TYPE","RESERVATION_METHOD","LINE_ID","TIMEZONE_PATTERN_ID","TIMEZONE_ID","APPOINT_DATE","APPOINT_DAY","LINE_NAME","TIMEZONE_NAME","RESERVATION_FRAMES","AUTO_RESERVATION_SETTING","LINE_NUM","SPARE_LINE_NUM","START_TIME","END_TIME","START_NUMBER","LINE_APPOINT_TYPE","LINE_APPOINT_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"1","2",\N,"1","2","1","2018-06-11","1","人間ドック","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2018-05-28 15:32:51","CUSTUMER","2018-05-28 15:32:51","0","1"
"2","2",\N,"1","2","1","2018-06-11","1","人間ドック","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2018-05-28 15:32:51","CUSTUMER","2018-05-28 15:32:51","0","1"
"3","2",\N,"1","2","1","2018-08-13","1","人間ドック","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2018-08-02 16:05:40","A2062","2018-08-03 17:45:06","1","2"
"4","2",\N,"1","2","1","2018-08-13","1","人間ドック","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2018-08-02 16:05:40","A2062","2018-08-03 17:45:06","1","2"
"5","2",\N,"1","2","1","2018-08-15","3","人間ドック","帯1","0",\N,"2","0","0000","2300","1","9",\N,"A2062","2018-08-03 17:45:06","A2062","2018-08-03 17:45:06","0","1"
"6","2",\N,"1","2","1","2018-08-15","3","人間ドック","帯1","0",\N,"2","0","0000","2300","1","1","1","A2062","2018-08-03 17:45:06","A2062","2018-08-03 17:45:06","0","1"
"7","2",\N,"1","2","1","2018-11-21","3","人間ドック","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2018-11-07 08:19:04","CUSTUMER","2018-11-07 08:19:04","0","1"
"8","2",\N,"1","2","1","2018-11-21","3","人間ドック","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2018-11-07 08:19:04","CUSTUMER","2018-11-07 08:19:04","0","1"
"9","2",\N,"1","2","1","2019-02-22","5","人間ドック","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2019-02-01 22:50:45","CUSTUMER","2019-02-01 22:50:45","0","1"
"10","2",\N,"1","2","1","2019-02-22","5","人間ドック","帯1","0",\N,"2","0","0000","2300","1","1","1","CUSTUMER","2019-02-01 22:50:45","CUSTUMER","2019-02-01 22:50:45","0","1"
"11","2",\N,"1","2","1","2019-08-14","3","人間ドック","帯1","0",\N,"2","0","0000","2300","1","9",\N,"CUSTUMER","2019-07-31 16:52:19","A3213","2019-08-06 11:55:01","1","2"
