"LINE_ID","APPOINT_DATE","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","2018-12-28","B85419","2018-07-26 17:35:58","B85419","2018-07-26 17:35:58","1"
"1","2018-12-29","B85419","2018-07-26 17:35:58","B85419","2018-07-26 17:35:58","1"
"1","2018-12-30","B85419","2018-09-14 15:30:43","B85419","2018-09-14 15:30:43","1"
"1","2018-12-31","B85419","2018-09-14 15:30:42","B85419","2018-09-14 15:30:42","1"
"1","2019-01-01","B85419","2018-09-14 15:30:51","B85419","2018-09-14 15:30:51","1"
"1","2019-01-02","B85419","2018-09-14 15:30:52","B85419","2018-09-14 15:30:52","1"
"1","2019-01-03","B85419","2018-09-14 15:30:53","B85419","2018-09-14 15:30:53","1"
"1","2019-01-04","B85419","2018-11-14 16:07:03","B85419","2018-11-14 16:07:03","1"
"1","2019-01-05","B85419","2018-11-14 16:07:04","B85419","2018-11-14 16:07:04","1"
"1","2019-01-06","B85419","2018-12-13 10:15:06","B85419","2018-12-13 10:15:06","1"
"1","2019-01-08","B85419","2018-11-14 16:06:58","B85419","2018-11-14 16:06:58","1"
"1","2019-01-11","B85419","2018-11-14 16:07:07","B85419","2018-11-14 16:07:07","1"
"1","2019-01-13","B85419","2018-12-13 10:15:06","B85419","2018-12-13 10:15:06","1"
"1","2019-01-15","B85419","2018-11-14 16:06:59","B85419","2018-11-14 16:06:59","1"
"1","2019-01-18","B85419","2018-11-14 16:07:08","B85419","2018-11-14 16:07:08","1"
"1","2019-01-19","B85419","2018-11-14 16:07:05","B85419","2018-11-14 16:07:05","1"
"1","2019-01-20","B85419","2018-12-13 10:15:08","B85419","2018-12-13 10:15:08","1"
"1","2019-01-22","B85419","2018-11-14 16:07:00","B85419","2018-11-14 16:07:00","1"
"1","2019-01-25","B85419","2018-11-14 16:07:09","B85419","2018-11-14 16:07:09","1"
"1","2019-01-26","B85419","2018-11-14 16:07:06","B85419","2018-11-14 16:07:06","1"
"1","2019-01-27","B85419","2018-12-13 10:15:09","B85419","2018-12-13 10:15:09","1"
"1","2019-01-29","B85419","2018-11-14 16:07:02","B85419","2018-11-14 16:07:02","1"
"1","2019-01-30","B85419","2018-12-13 10:16:04","B85419","2018-12-13 10:16:04","1"
"1","2019-02-01","B85419","2018-11-14 16:07:19","B85419","2018-11-14 16:07:19","1"
"1","2019-02-02","B85419","2018-11-14 16:07:20","B85419","2018-11-14 16:07:20","1"
"1","2019-02-05","B85419","2018-11-14 16:07:13","B85419","2018-11-14 16:07:13","1"
"1","2019-02-08","B85419","2018-11-14 16:07:21","B85419","2018-11-14 16:07:21","1"
"1","2019-02-09","B85419","2018-11-14 16:07:21","B85419","2018-11-14 16:07:21","1"
"1","2019-02-12","B85419","2018-11-14 16:07:14","B85419","2018-11-14 16:07:14","1"
"1","2019-02-15","B85419","2018-11-14 16:07:22","B85419","2018-11-14 16:07:22","1"
"1","2019-02-16","B85419","2018-11-14 16:07:23","B85419","2018-11-14 16:07:23","1"
"1","2019-02-19","B85419","2018-11-14 16:07:16","B85419","2018-11-14 16:07:16","1"
"1","2019-02-20","B85419","2019-01-11 17:29:25","B85419","2019-01-11 17:29:25","1"
"1","2019-02-22","B85419","2018-11-14 16:07:24","B85419","2018-11-14 16:07:24","1"
"1","2019-02-23","B85419","2018-11-14 16:07:23","B85419","2018-11-14 16:07:23","1"
"1","2019-02-26","B85419","2018-11-14 16:07:17","B85419","2018-11-14 16:07:17","1"
"1","2019-02-27","B85419","2019-01-11 17:29:26","B85419","2019-01-11 17:29:26","1"
