"USER_NO","MODULE_ID","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
86994,30,system,2018-08-03 23:22:48,system,2018-08-03 23:22:48,1
86994,31,system,2018-08-03 23:22:48,system,2018-08-03 23:22:48,1
86994,32,system,2018-08-03 23:22:48,system,2018-08-03 23:22:48,1
86994,33,system,2018-08-03 23:22:48,system,2018-08-03 23:22:48,1
86994,36,system,2018-08-03 23:22:48,system,2018-08-03 23:22:48,1
86994,37,system,2018-08-03 23:22:48,system,2018-08-03 23:22:48,1
86994,38,system,2018-08-03 23:22:48,system,2018-08-03 23:22:48,1
86994,150,system,2018-08-03 23:22:48,system,2018-08-03 23:22:48,1
86994,203,system,2018-08-03 23:22:48,system,2018-08-03 23:22:48,1
91461,30,B91461,2019-01-23 11:54:39,B91461,2019-01-23 11:54:39,1
91461,31,B91461,2019-01-23 11:54:39,B91461,2019-01-23 11:54:39,1
91461,32,B91461,2019-01-23 11:54:39,B91461,2019-01-23 11:54:39,1
91461,33,B91461,2019-01-23 11:54:39,B91461,2019-01-23 11:54:39,1
91461,36,B91461,2019-01-23 11:54:39,B91461,2019-01-23 11:54:39,1
91461,37,B91461,2019-01-23 11:54:39,B91461,2019-01-23 11:54:39,1
91461,38,B91461,2019-01-23 11:54:39,B91461,2019-01-23 11:54:39,1
91461,150,B91461,2019-01-23 11:54:39,B91461,2019-01-23 11:54:39,1
91461,203,B91461,2019-01-23 11:54:39,B91461,2019-01-23 11:54:39,1
