"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","1","A3218","2018-06-06 13:05:53","A3218","2019-10-21 09:36:30","6"
"2","1","2","A3218","2018-06-06 13:05:54","A3218","2019-10-21 09:36:59","8"
"3","1","3","A3218","2018-06-06 13:05:55","A3218","2019-10-21 09:36:14","7"
"4","2","1","A3220","2018-06-06 13:07:04","A3220","2019-09-25 10:40:29","4"
"5","2","2","A2062","2018-06-06 13:07:05","A2062","2019-07-01 12:43:52","3"
"6","2","3","A2062","2018-06-06 13:07:06","A2062","2019-07-01 12:44:55","3"
"7","2","4","A2062","2018-06-06 13:07:08","A2062","2019-07-01 12:48:08","3"
"8","2","5","A3220","2018-06-06 13:07:09","A3220","2019-09-25 10:15:01","5"
"9","2","6","A3220","2018-06-06 13:07:11","A3220","2019-09-25 10:41:49","4"
"10","2","7","A2062","2018-06-06 13:07:13","A2062","2019-07-02 09:49:54","6"
"11","2","8","A2062","2018-06-06 13:07:14","A2062","2019-07-02 09:50:20","5"
"12","2","9","A2062","2018-06-06 13:07:15","A2062","2019-07-02 09:51:04","5"
"13","3","1","A2636","2018-06-06 13:07:53","A2636",\N,"1"
"14","2","0","A3218","2018-08-21 09:30:34","A3218","2019-10-21 09:56:48","9"
