"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","1","A3271","2018-11-08 16:05:51","A3271","2019-11-28 11:07:05","22"
"2","1","2","A3271","2018-11-08 16:05:53","A3271","2019-11-28 11:08:09","26"
"3","1","3","A3271","2018-11-08 16:05:55","A3271","2019-11-28 11:08:48","24"
"4","1","4","A3271","2018-11-08 16:05:57","A3271","2019-11-28 11:09:53","20"
"5","1","5","A3271","2018-11-08 16:05:59","A3271","2019-11-28 11:07:25","20"
"6","1","6","A3271","2018-11-08 16:06:02","A3271","2019-11-28 11:08:29","25"
"7","1","7","A3271","2018-11-08 16:06:04","A3271","2019-11-28 11:09:09","19"
"8","1","9","A3271","2018-11-08 16:06:09","A3271","2019-11-28 11:09:33","19"
"9","1","8","A3271","2018-11-08 16:06:07","A3271","2019-11-28 11:10:12","18"
"10","1","10","A3271","2018-11-08 16:06:11","A3271","2019-11-28 11:07:44","21"
"11","1","11","B87857","2018-11-08 16:06:13","B87857","2019-03-20 09:57:22","25"
"12","1","12","B87857","2018-11-08 16:06:15","B87857","2019-03-20 09:57:47","28"
"13","1","13","A3271","2018-11-08 16:06:18","A3271","2019-11-28 11:06:43","24"
"14","1","15","B87857","2018-11-08 16:06:22","B87857","2019-03-20 09:56:32","22"
"15","1","14","B87857","2018-11-08 16:06:20","B87857","2019-03-20 09:56:55","26"
"16","1","16","A3271","2018-11-08 16:06:24","A3271","2019-11-28 11:06:09","18"
"17","1","17","B87857","2018-11-08 16:06:26","B87857","2019-03-20 09:58:13","16"
"18","2","1","A2636","2018-11-09 14:01:34","A2636",\N,"1"
