"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","1","A3211","2018-06-08 12:26:25","A3211","2020-01-23 18:39:52","11"
"2","2","1","A3211","2018-07-23 15:09:50","A3211","2020-01-23 18:40:29","9"
"3","3","1","A3211","2018-06-08 12:26:49","A3211","2020-01-23 18:41:09","16"
"4","4","1","A3211","2018-06-08 12:29:04","A3211","2020-01-23 18:41:57","12"
"5","5","1","A3211","2018-07-23 15:02:48","A3211","2020-01-23 18:42:42","16"
"6","6","1","A3211","2020-01-23 18:40:35","A3211","2020-01-23 18:43:33","2"
"7","6","2","A3211","2020-01-23 18:40:37","A3211","2020-01-23 18:44:08","2"
"8","6","3","A3211","2020-01-23 18:40:38","A3211","2020-01-23 18:46:38","2"
"9","7","1","A3211","2019-10-24 11:33:31","A3211","2020-01-23 18:47:22","3"
"10","8","1","A2636","2018-06-08 12:29:57","A2636",\N,"1"
"11","9","1","A3213","2019-09-17 11:27:53","A3213",\N,"1"
