"APPOINT_ID","TRADE_ID","ORDER_ID","CARD_PAYMENT_AMOUNT","PAYMENT_METHOD","CASHPO_USED_AMOUNT","AMOUNT_UNSETTLED","PAYMENT_STATUS","FINALIZE_DATE","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"2","5b72b2ce0628a20180814194534","201049781","0","1","0","0","3",\N,\N,"2018-08-14 19:46:45","CUSTUMER","2018-08-15 10:46:12","2"
"5","5b73a953742b920180815131723","201049787","0","1","0","0","3",\N,\N,"2018-08-15 13:17:39","CUSTUMER","2018-08-15 14:22:16","2"
"7","5b73b502c291920180815140714","201049793","0","1","0","0","3",\N,\N,"2018-08-15 14:07:29","CUSTUMER","2018-08-15 14:21:50","2"
"9","5b73c4d30da7020180815151443","201049799","0","1","0","0","1",\N,\N,"2018-08-15 15:16:24",\N,\N,"1"
"11","5b73c644004ff20180815152051","201049800","0","1","0","0","1",\N,\N,"2018-08-15 15:21:33",\N,\N,"1"
"12","5b73c9a07eee120180815153512","201049805","0","1","0","0","3","2018-08-15 16:00:08",\N,"2018-08-15 15:35:55","CUSTUMER","2018-08-15 16:31:45","3"
"13","5b73ca26eb4e820180815153726","201049806","0","1","0","0","1",\N,\N,"2018-08-15 15:37:58",\N,\N,"1"
"15","5b73d72086b3d20180815163248","201049807","44459","1","100","0","3",\N,\N,"2018-08-15 16:33:11","CUSTUMER","2018-08-15 17:44:33","2"
"16","5b73d8f570fad20180815164037","201049808","44159","1","400","0","2","2018-08-15 20:00:04",\N,"2018-08-15 16:41:34","OP200","2018-08-15 20:00:04","2"
"18","5b73dedb392b920180815170547","201049813","44559","1","0","0","3","2018-08-22 18:30:04",\N,"2018-08-15 17:06:19","B7402","2018-08-22 18:50:10","4"
"19","5b73e3724996b20180815172522","201049817","44559","1","0","0","1",\N,\N,"2018-08-15 17:25:53",\N,\N,"1"
"20","5b73e4c2977d220180815173058","201049819","42659","1","1900","0","2","2018-08-15 21:00:02",\N,"2018-08-15 17:31:21","OP200","2018-08-15 21:00:02","2"
"21","5b73e70ab372d20180815174042","201049821","43859","1","700","0","1",\N,\N,"2018-08-15 17:42:10",\N,\N,"1"
"23","5b73eb5fe416b20180815175911","201049824","44459","1","100","0","2","2018-08-15 20:00:05",\N,"2018-08-15 17:59:49","OP200","2018-08-15 20:00:05","2"
"31","5b752e4586f6420180816165653","201049864","45059","1","2500","0","2","2018-08-20 17:30:03",\N,"2018-08-16 16:57:08","OP200","2018-08-20 17:30:03","2"
"32","5b7b76bfc3bd020180821111943","201049985","44159","1","400","0","2","2018-08-21 11:30:01",\N,"2018-08-21 11:20:22","OP200","2018-08-21 11:30:01","2"
"33","5b7b7e223b01020180821115114","201049992","44159","1","400","0","2","2018-08-22 11:00:03",\N,"2018-08-21 11:51:43","OP200","2018-08-22 11:00:03","2"
"34","5b7b8747200ec20180821123015","201049998","47559","1","0","0","2","2018-08-23 17:00:03",\N,"2018-08-21 12:30:43","OP200","2018-08-23 17:00:03","2"
"35","5b7bac0aded2f20180821150706","201050013","44559","1","0","3000","3",\N,\N,"2018-08-21 15:07:43","B7402","2018-08-23 17:09:18","3"
"36","5b7bb41873bed20180821154128",\N,"0","0","44559","0","3",\N,\N,"2018-08-21 15:42:53","B7402","2018-08-21 19:19:26","2"
"60","5b973c50ab38a20180911125352","201051159","42661","1","0","0","3",\N,\N,"2018-09-11 12:54:19","CUSTUMER","2018-09-11 12:55:08","2"
"62","5b973d33d7b4220180911125739","201051160","136904","1","0","0","2","2018-10-29 11:00:04",\N,"2018-09-11 12:57:58","OP200","2018-10-29 11:00:04","2"
"63","5b973dae3d56b20180911125942","201051161","42661","1","0","0","2","2018-10-25 11:00:04",\N,"2018-09-11 13:00:42","OP200","2018-10-25 11:00:04","2"
"65","5b973f21bfc8920180911130553","201051162","42661","1","0","0","2","2018-11-23 11:00:04",\N,"2018-09-11 13:06:07","OP200","2018-11-23 11:00:04","2"
"67","5b97518ca958c20180911142428","201051172","136904","1","0","0","3",\N,\N,"2018-09-11 14:24:44","B7402","2018-09-11 14:26:01","2"
"69","5b9753ba0e18720180911143346","201051173","42661","1","0","0","2","2018-11-17 11:00:05",\N,"2018-09-11 14:34:07","OP200","2018-11-17 11:00:05","2"
"71","5b97556b1456c20180911144059","201051175","42661","1","0","0","3",\N,\N,"2018-09-11 14:41:17","CUSTUMER","2018-09-11 14:42:16","2"
"72","5b97562bd780f20180911144411","201051177","41661","1","1000","0","2","2018-09-11 15:00:02",\N,"2018-09-11 14:44:31","OP200","2018-09-11 15:00:02","2"
"73","5b97573ca1c7c20180911144844","0","0","0","2300","0","2","2018-09-11 15:00:03",\N,"2018-09-11 14:49:06","OP200","2018-09-11 15:00:03","2"
"75","5b9758a93af0420180911145449","201051179","43661","1","0","0","2","2018-09-11 15:00:03",\N,"2018-09-11 14:55:07","OP200","2018-09-11 15:00:03","2"
"77","5b9759928391c20180911145842","201051180","136904","1","0","0","3",\N,\N,"2018-09-11 14:58:57","B7402","2018-09-18 17:39:59","2"
"78","5b975a22abf9920180911150106","201051181","42661","1","0","0","2","2018-09-11 15:30:01",\N,"2018-09-11 15:01:21","OP200","2018-09-11 15:30:01","2"
"79","5b975ac28df3520180911150346","201051183","42661","1","0","0","2","2018-09-11 15:30:02",\N,"2018-09-11 15:04:02","OP200","2018-09-11 15:30:02","2"
"80","5b975b6d6bbd620180911150637","201051185","136904","1","0","0","2","2018-09-11 15:30:03",\N,"2018-09-11 15:06:52","OP200","2018-09-11 15:30:03","2"
"82","5b975c47bb43420180911151015","201051186","136904","1","0","0","2","2018-09-11 15:30:04",\N,"2018-09-11 15:10:33","OP200","2018-09-11 15:30:04","2"
"83","5b975cf09b20920180911151304","201051187","42661","1","0","1200","2","2018-09-11 15:30:05",\N,"2018-09-11 15:13:23","OP200","2018-09-11 15:30:05","3"
"85","5b975f170359020180911152215","201051188","42661","1","0","0","2","2018-09-11 15:30:06",\N,"2018-09-11 15:22:31","OP200","2018-09-11 15:30:06","2"
"87","5b97602a5b78020180911152650","201051191","42661","1","0","0","2","2018-09-12 11:00:03",\N,"2018-09-11 15:27:16","OP200","2018-09-12 11:00:03","2"
"89","5b9760a4624df20180911152852","201051192","136904","1","0","0","2","2018-09-12 11:00:04",\N,"2018-09-11 15:29:06","OP200","2018-09-12 11:00:04","2"
"93","5b9782b7c305b20180911175415","201051220","42661","1","0","0","3",\N,\N,"2018-09-11 17:54:34","CUSTUMER","2018-09-11 18:04:59","2"
"94","5b97865548bb220180911180941","201051221","42661","1","0","0","3",\N,\N,"2018-09-11 18:10:27","CUSTUMER","2018-09-11 18:13:14","2"
"96","5b97913a321a820180911185610","201051226","42661","1","0","0","3",\N,\N,"2018-09-11 18:56:26","CUSTUMER","2018-09-11 19:00:40","2"
"97","5b98720575dad20180912105517","201051248","42661","1","0","0","3",\N,\N,"2018-09-12 10:55:36","CUSTUMER","2018-09-12 11:08:45","2"
"98","5b9877b84b70020180912111936","201051249","42661","1","0","0","3",\N,\N,"2018-09-12 11:19:55","CUSTUMER","2018-09-12 11:26:52","2"
"99","5b987a41505e420180912113025","201051251","42661","1","0","0","2","2018-09-12 12:00:04",\N,"2018-09-12 11:30:44","OP200","2018-09-12 12:00:04","2"
"111","5b98b074a85a120180912152140","201051259","42661","1","0","100","1",\N,\N,"2018-09-12 15:21:54","B7402","2018-09-18 17:25:52","2"
"115","5b98b61237d6820180912154538","201051260","42661","1","0","0","9","2018-09-12 16:00:03",\N,"2018-09-12 15:46:10","OP200","2018-09-12 16:00:03","2"
"116","5b98ba195caea20180912160249","201051261","42661","1","0","0","3",\N,\N,"2018-09-12 16:03:05","B7402","2018-09-12 16:42:07","2"
"117","5b98bacebcdc820180912160550","201051262","42661","1","0","0","9","2018-09-12 16:30:02",\N,"2018-09-12 16:06:13","OP200","2018-09-12 16:30:02","2"
"118","5b98bcd3e9d0420180912161427","201051263","42661","1","0","0","3",\N,\N,"2018-09-12 16:14:44","CUSTUMER","2018-09-12 16:19:27","2"
"119","5b98c0d02ab7820180912163128","201051264","42661","1","0","0","3",\N,\N,"2018-09-12 16:31:44","CUSTUMER","2018-09-12 16:34:05","2"
"120","5b98c387f361620180912164303","201051265","42661","1","0","0","9","2018-09-12 17:00:02",\N,"2018-09-12 16:43:24","OP200","2018-09-12 17:00:02","2"
"124","5b98c8882856820180912170424","201051266","42661","1","0","0","1",\N,\N,"2018-09-12 17:04:43",\N,\N,"1"
"125","5b98c8dc8821e20180912170548","201051267","42661","1","0","0","2","2018-09-12 17:30:03",\N,"2018-09-12 17:06:06","OP200","2018-09-12 17:30:03","2"
"126","5b98c9573a27420180912170751","201051268","42661","1","0","0","2","2018-09-12 17:30:04",\N,"2018-09-12 17:08:06","OP200","2018-09-12 17:30:04","2"
"127","5b98c9c6b69f520180912170942","201051269","42661","1","0","0","2","2018-09-12 17:30:05",\N,"2018-09-12 17:09:57","OP200","2018-09-12 17:30:05","2"
"129","5b98cd895658120180912172545","201051270","137904","1","0","0","3",\N,\N,"2018-09-12 17:26:03","CUSTUMER","2018-09-13 10:17:43","2"
"131","5b98d968e894320180912181624","201051275","136904","1","0","0","2","2018-09-30 11:00:04",\N,"2018-09-12 18:16:37","OP200","2018-09-30 11:00:04","2"
"133","5b99cc9e2094e20180913113406","201051301","42661","1","0","0","3",\N,\N,"2018-09-13 11:34:26","CUSTUMER","2018-09-13 11:36:39","2"
"139","5ba0b745a0baa20180918172853","201051441","43661","1","0","0","1",\N,\N,"2018-09-18 17:30:33",\N,\N,"1"
"141","5ba1f1d08ef6a20180919155056","201051460","42661","1","0","0","1",\N,\N,"2018-09-19 15:51:17",\N,\N,"1"
"143","5ba20b09502fa20180919173833","201051473","42661","1","0","0","3",\N,\N,"2018-09-19 17:38:51","CUSTUMER","2018-09-20 15:26:47","2"
