"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"1","1","1","A2636","2018-01-29 16:41:03","A2636","2018-07-17 09:15:59","5"
"2","1","4","A2636","2018-01-29 16:41:03","A2636","2018-07-17 09:16:14","7"
"3","1","7","A2636","2018-01-29 16:41:03","A2636","2018-07-17 09:16:24","5"
"4","1","9","A2636","2018-01-29 16:41:03","A2636","2018-07-17 09:16:38","5"
"5","1","8","A2636","2018-01-29 16:41:03","A2636","2018-07-17 09:17:11","5"
"6","1","6","A2636","2018-01-29 16:41:03","A2636","2019-05-28 14:43:09","5"
"7","1","5","A2636","2018-01-29 16:41:03","A2636","2018-07-17 09:20:25","3"
"8","1","3","A2636","2018-01-29 16:41:03","A2636","2019-05-28 14:47:04","4"
"9","1","2","A2636","2018-01-29 16:41:03","A2636","2019-05-28 14:44:27","4"
"10","2","1","A2636","2018-07-17 09:53:08","A2636",\N,"1"
"11","3","1","A1589","2018-01-29 16:42:36","A1589",\N,"1"
"12","1","0","A3210","2018-07-17 09:23:58","A3210","2019-09-30 13:16:38","4"
"13","1","0","A3210","2018-07-17 09:33:09","A3210","2019-09-30 13:19:11","7"
"14","1","0","A3210","2018-07-17 09:49:29","A3210","2019-09-30 13:18:41","5"
"15","5","0","A3212","2018-12-26 14:22:43","A3212","2019-10-30 17:03:19","5"
"16","6","0","A3218","2018-12-26 14:34:44","A3218","2019-09-25 15:30:10","6"
"17","1","0","A3210","2019-09-30 13:17:43","A3210",\N,"1"
